entity:autotest_sample_id	sra_accession	metagenome_size_in_gbp	singlem_table
SRR3984954	SRR3984954	1	undefined
ERR719966	ERR719966	1	undefined
SRR11262366	SRR11262366	1	undefined
ERR3453541	ERR3453541	4	undefined
SRR12512309	SRR12512309	2	undefined
SRR8861225	SRR8861225	1	undefined
ERR2738611	ERR2738611	1	undefined
ERR4352501	ERR4352501	2	undefined
ERR1877770	ERR1877770	3	undefined
ERR4577380	ERR4577380	1	undefined
SRR6038407	SRR6038407	2	undefined
SRR10002686	SRR10002686	2	undefined
SRR10029126	SRR10029126	4	undefined
ERR3406155	ERR3406155	3	undefined
SRR4893026	SRR4893026	3	undefined
SRR6487994	SRR6487994	1	undefined
SRR8090771	SRR8090771	2	undefined
ERR3593853	ERR3593853	2	undefined
ERR4181511	ERR4181511	1	undefined
SRR539437	SRR539437	1	undefined
ERR4865519	ERR4865519	4	undefined
SRR5813263	SRR5813263	3	undefined
ERR4031780	ERR4031780	1	undefined
SRR1779149	SRR1779149	3	undefined
SRR640352	SRR640352	1	undefined
ERR260154	ERR260154	3	undefined
ERR1915814	ERR1915814	1	undefined
ERR1915575	ERR1915575	1	undefined
ERR479216	ERR479216	2	undefined
ERR3680132	ERR3680132	2	undefined
ERR5031941	ERR5031941	3	undefined
SRR10667692	SRR10667692	1	undefined
ERR3573267	ERR3573267	2	undefined
ERR1913562	ERR1913562	1	undefined
SRR540542	SRR540542	1	undefined
SRR7058443	SRR7058443	4	undefined
ERR479168	ERR479168	1	undefined
SRR13004965	SRR13004965	3	undefined
ERR3679759	ERR3679759	2	undefined
ERR4374862	ERR4374862	1	undefined
DRR128708	DRR128708	1	undefined
SRR7206624	SRR7206624	11	undefined
SRR13502469	SRR13502469	5	undefined
SRR8890819	SRR8890819	5	undefined
SRR061477	SRR061477	5	undefined
ERR1539431	ERR1539431	6	undefined
SRR9178091	SRR9178091	20	undefined
ERR3342492	ERR3342492	12	undefined
ERR4352741	ERR4352741	11	undefined
ERR4352680	ERR4352680	15	undefined
ERR1995157	ERR1995157	5	undefined
ERR1726547	ERR1726547	35	undefined
ERR2092774	ERR2092774	58	undefined
ERR599334	ERR599334	35	undefined
ERR599205	ERR599205	34	undefined
ERR3589569	ERR3589569	29	undefined
SRR10143270	SRR10143270	110	undefined
